System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.58	0.673	0.623				105	76	51
team2_bundle1_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.624	0.617	0.62				277	167	172
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.624	0.617	0.62				277	167	172
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.609	0.621	0.615				279	179	170
team2_bundle2_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.609	0.621	0.615				279	179	170
team2_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.609	0.621	0.615				279	179	170
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.683	0.547	0.607				99	46	82
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.625	0.588	0.606				10	6	7
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.565	0.615	0.589				96	74	60
neurbsl_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS	0.485	0.641	0.552				100	106	56
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.556	0.526	0.541				10	8	9
team2_bundle2_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.556	0.526	0.541				10	8	9
team2_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.556	0.526	0.541				10	8	9
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.538	0.49	0.513				220	189	229
neurbsl_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.432	0.532	0.477				239	314	210
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	0.378	0.486	0.425				88	145	93
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.4	0.43	0.414				193	290	256
team2_bundle1_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.4	0.421	0.41				32	48	44
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.4	0.421	0.41				32	48	44
team2_bundle1_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.349	0.382	0.365				29	54	47
team2_bundle2_hipe2020_en_2	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.349	0.382	0.365				29	54	47
team2_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.349	0.382	0.365				29	54	47
team2_bundle1_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.429	0.316	0.364				6	8	13
team2_bundle2_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.429	0.316	0.364				6	8	13
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.217	0.197	0.207				15	54	61
neurbsl_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.077	0.059	0.067				1	12	16
neurbsl_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.053	0.066	0.059				5	89	71
neurbsl_bundle3_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.0	0.0	0				0	12	19
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	ORG	0.0	0.0	0				0	51	76
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.0	0.0	0				0	8	19
team3_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	TIME	0.0	0.0	0				0	10	17
team4_bundle4_hipe2020_en_1	NE-COARSE-LIT-micro-strict-TIME-ALL-LED-ALL	PROD	0.0	0.0	0				0	9	19
